cation,anion
c1c[nH+]c[nH]1,O=S(=O)([O-])O
c1c[nH+]c[nH]1,CS(=O)(=O)[O-]
c1c[nH+]c[nH]1,O=S(=O)(O)C(F)(F)F
c1c[nH+]c[nH]1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
c1c[nH+]c[nH]1,F[B-](F)(F)F
Cn1cc[nH+]c1,O=S(=O)([O-])O
CCn1cc[nH+]c1,CS(=O)(=O)[O-]
CCn1cc[nH+]c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
CCCn1cc[nH+]c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
C[NH3+],O=S(=O)([O-])O
C[NH3+],CS(=O)(=O)[O-]
C[NH3+],O=C([O-])C(F)(F)F
C[NH3+],F[B-](F)(F)F
C[NH3+],O=[N+]([O-])[O-]
C[NH3+],O=P([O-])(O)O
C[NH3+],[Br-]
CC[NH3+],CS(=O)(=O)[O-]
CC[NH3+],O=S(=O)([O-])C(F)(F)F
CC[NH3+],O=C([O-])C(F)(F)F
CC[NH3+],F[B-](F)(F)F
CC[NH3+],O=P([O-])(O)O
CC[NH3+],[Cl-]
CCC[NH3+],O=S(=O)([O-])O
CCC[NH3+],O=S(=O)([O-])C(F)(F)F
CCC[NH3+],O=P([O-])(O)O
CCC[NH3+],[Br-]
CCCC[NH3+],O=S(=O)([O-])O
CCCC[NH3+],CS(=O)(=O)[O-]
CCCC[NH3+],O=S(=O)([O-])C(F)(F)F
CCCC[NH3+],O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
CCCC[NH3+],F[B-](F)(F)F
CCCC[NH3+],O=[N+]([O-])[O-]
CCCC[NH3+],O=P([O-])(O)O
CCCC[NH3+],[Br-]
C[NH2+]C,O=S(=O)([O-])O
C[NH2+]C,CS(=O)(=O)[O-]
C[NH2+]C,O=S(=O)([O-])C(F)(F)F
C[NH2+]C,O=C[O-]
C[NH2+]C,O=[N+]([O-])[O-]
C[NH2+]C,O=P([O-])(O)O
CC[NH2+]CC,O=S(=O)([O-])C(F)(F)F
