Cation	Anion	Cationic family	Anionic family	T / K	p / MPa	ρ / kg/m3
azp-2o1,1	ntf2	azepanium	NTf2 derivatives	298,20	0,1	1415,60
azp-2o1,1	ntf2	azepanium	NTf2 derivatives	293,10	0,1	1420,60
azp-2o1,1	ntf2	azepanium	NTf2 derivatives	298,10	0,1	1415,60
azp-2o1,1	ntf2	azepanium	NTf2 derivatives	303,10	0,1	1411,10
azp-2o1,1	ntf2	azepanium	NTf2 derivatives	313,10	0,1	1402,10
azp-2o1,1	ntf2	azepanium	NTf2 derivatives	323,10	0,1	1393,20
azp-2o1,1	ntf2	azepanium	NTf2 derivatives	333,10	0,1	1384,30
azp-2o1,1	ntf2	azepanium	NTf2 derivatives	343,10	0,1	1375,60
azp-2o1,1	ntf2	azepanium	NTf2 derivatives	353,10	0,1	1366,90
azp-2o1,1	ntf2	azepanium	NTf2 derivatives	363,10	0,1	1358,30
azp-2o1,1	ntf2	azepanium	NTf2 derivatives	293,15	0,1	1422,60
azp-2o1,1	ntf2	azepanium	NTf2 derivatives	298,15	0,1	1417,90
azp-2o1,1	ntf2	azepanium	NTf2 derivatives	303,15	0,1	1413,40
azp-2o1,1	ntf2	azepanium	NTf2 derivatives	313,15	0,1	1404,20
azp-2o1,1	ntf2	azepanium	NTf2 derivatives	323,15	0,1	1395,20
azp-2o1,1	ntf2	azepanium	NTf2 derivatives	333,15	0,1	1386,30
azp-2o1,1	ntf2	azepanium	NTf2 derivatives	343,15	0,1	1377,50
azp-2o1,1	ntf2	azepanium	NTf2 derivatives	353,15	0,1	1368,60
azp-2o1,1	ntf2	azepanium	NTf2 derivatives	363,15	0,1	1359,80
azp-2o1,1	otf	azepanium	sulfonates	298,20	0,1	1292,90
azp-2o1,1	otf	azepanium	sulfonates	293,10	0,1	1295,20
azp-2o1,1	otf	azepanium	sulfonates	298,10	0,1	1291,60
azp-2o1,1	otf	azepanium	sulfonates	303,10	0,1	1287,90
azp-2o1,1	otf	azepanium	sulfonates	313,10	0,1	1280,50
azp-2o1,1	otf	azepanium	sulfonates	323,10	0,1	1273,10
azp-2o1,1	otf	azepanium	sulfonates	333,10	0,1	1265,80
azp-2o1,1	otf	azepanium	sulfonates	343,10	0,1	1258,50
