Abbreviation	SMILES
im	c1c[nH+]c[nH]1
im-1	Cn1cc[nH+]c1
im-2	CCn1cc[nH+]c1
im-3	CCCn1cc[nH+]c1
im-4	CCCCn1cc[nH+]c1
im-5	CCCCCn1cc[nH+]c1
im-6	CCCCCCn1cc[nH+]c1
im-7	CCCCCCCn1cc[nH+]c1
im-8	CCCCCCCCn1cc[nH+]c1
im-9	CCCCCCCCCn1cc[nH+]c1
im-10	CCCCCCCCCCn1cc[nH+]c1
im-11	CCCCCCCCCCCn1cc[nH+]c1
im-12	CCCCCCCCCCCCn1cc[nH+]c1
im-1o4	CCCCOCn1cc[nH+]c1
im-1o5	CCCCCOCn1cc[nH+]c1
im-1o6	CCCCCCOCn1cc[nH+]c1
im-1o7	CCCCCCCOCn1cc[nH+]c1
im-1o8	CCCCCCCCOCn1cc[nH+]c1
im-1o9	CCCCCCCCCOCn1cc[nH+]c1
im-1o10	CCCCCCCCCCOCn1cc[nH+]c1
im-1o11	CCCCCCCCCCCOCn1cc[nH+]c1
im-1o12	CCCCCCCCCCCCOCn1cc[nH+]c1
im-6oh	OCCCCCCn1cc[nH+]c1
im-2cn	N#CCCn1cc[nH+]c1
im-1,1[2]	Cc1[nH]cc[n+]1C
im-1,s2[2]	CCSc1[nH+]ccn1C
im-1,s4[2]	CCCCSc1[nH+]ccn1C
im-3so3h,1[2]	Cc1[nH]cc[n+]1CCCS(O)(=O)=O
im-3so3h,2[2]	CCc1[nH]cc[n+]1CCCS(O)(=O)=O
im-3so3h,ph[2]	OS(=O)(=O)CCC[n+]1cc[nH]c1-c1ccccc1
im-1,1	Cn1cc[n+](C)c1
im-2,1	CCn1cc[n+](C)c1
im-2,1,1	CCn1cc[n+](C)c1C
im-2,2	CCn1cc[n+](CC)c1
im-2,1,1[5]	CCn1c[n+](C)cc1C
im-2,2,1[5]	CCn1c[n+](CC)cc1C
im-3,1	CCC[n+]1ccn(C)c1
im-3i,1	CC(C)[n+]1ccn(C)c1
im-3,2	CCC[n+]1ccn(CC)c1
im-3,3	CCCn1cc[n+](CCC)c1
im-3,1,1	CCC[n+]1ccn(C)c1C
im-4,1	CCCCn1cc[n+](C)c1
im-4,2	CCCC[n+]1ccn(CC)c1
im-4,4	CCCCn1cc[n+](CCCC)c1
im-4,1,1	CCCCn1cc[n+](C)c1C
im-4i,1	CC(C)Cn1cc[n+](C)c1
im-5,1	CCCCCn1cc[n+](C)c1
im-5i,1	CC(C)CCn1cc[n+](C)c1
im-5,2	CCCCCn1cc[n+](CC)c1
im-5,4	CCCCCn1cc[n+](CCCC)c1
im-5i,4	CCCC[n+]1ccn(CCC(C)C)c1
im-5n,4	CCC(CC)n1cc[n+](C)c1
im-5,5	CCCCCn1cc[n+](CCCCC)c1
im-5,1,1	CCCCC[n+]1ccn(C)c1C
im-6,1	CCCCCC[n+]1ccn(C)c1
im-6i,1	CC(C)CCC[n+]1ccn(C)c1
im-6,2	CCCCCCn1cc[n+](CC)c1
im-6,4	CCCCCCn1cc[n+](CCCC)c1
im-6,6	CCCCCCn1cc[n+](CCCCCC)c1
im-6,1,1	CCCCCC[n+]1ccn(C)c1C
im-7,1	CCCCCCC[n+]1ccn(C)c1
im-7i,1	CC(C)CCCC[n+]1ccn(C)c1
im-7,1,1	CCCCCCC[n+]1ccn(C)c1C
im-7,7	CCCCCCCn1cc[n+](CCCCCCC)c1
im-8,1	CCCCCCCCn1cc[n+](C)c1
im-8,2	CCCCCCCCn1cc[n+](CC)c1
im-8,3	CCCCCCCCn1cc[n+](CCC)c1
im-8,4	CCCCCCCCn1cc[n+](CCCC)c1
im-8,8	CCCCCCCCn1cc[n+](CCCCCCCC)c1
im-8,1,1	CCCCCCCC[n+]1ccn(C)c1C
im-9,1	CCCCCCCCCn1cc[n+](C)c1
im-9,9	CCCCCCCCCn1cc[n+](CCCCCCCCC)c1
im-10,1	CCCCCCCCCCn1cc[n+](C)c1
im-10,1,1	CCCCCCCCCCn1cc[n+](C)c1C
im-10,10	CCCCCCCCCCn1cc[n+](CCCCCCCCCC)c1
im-11,1	CCCCCCCCCCCn1cc[n+](C)c1
im-12,1	CCCCCCCCCCCCn1cc[n+](C)c1
im-12,12	CCCCCCCCCCCCn1cc[n+](CCCCCCCCCCCC)c1
im-14,1	CCCCCCCCCCCCCCn1cc[n+](C)c1
im-16,1	CCCCCCCCCCCCCCCCn1cc[n+](C)c1
im-18,1	CCCCCCCCCCCCCCCCCCn1cc[n+](C)c1
im-cp,1	C[n+]1ccn(c1)C1CCCC1
im-cp,4	CCCC[n+]1ccn(c1)C1CCCC1
im-1cp,1	C[n+]1ccn(CC2CCCC2)c1
im-2cp,1	C[n+]1ccn(CCC2CCCC2)c1
im-ch,1	C[n+]1ccn(c1)C1CCCCC1
im-ch,2	CC[n+]1ccn(c1)C1CCCCC1
im-1ch,1	C[n+]1ccn(CC2CCCCC2)c1
im-2ch,1	C[n+]1ccn(CCC2CCCCC2)c1
im-3ch,1	C[n+]1ccn(CCCC2CCCCC2)c1
im-c7,1	C[n+]1ccn(c1)C1CCCCCC1
im-a,1	C[n+]1ccn(CC=C)c1
im-a,4	CCCC[n+]1ccn(CC=C)c1
im-a,6	CCCCCC[n+]1ccn(CC=C)c1
im-a,8	CCCCCCCC[n+]1ccn(CC=C)c1
im-a,10	CCCCCCCCCC[n+]1ccn(CC=C)c1
im-a,12	CCCCCCCCCCCC[n+]1ccn(CC=C)c1
im-a,14	CCCCCCCCCCCCCC[n+]1ccn(CC=C)c1
im-a,1,1	Cc1n(CC=C)cc[n+]1C
im-2v,1,1	Cc1n(CCC=C)cc[n+]1C
im-c,1,1	C\C=C\C[n+]1ccn(C)c1C
im-8chch(E)8,1	CCCCCCCC\C=C\CCCCCCCC[n+]1ccn(C)c1
im-8chch(Z)8,1	CCCCCCCC\C=C/CCCCCCCC[n+]1ccn(C)c1
im-8chch(Z)1chch(Z)5,1	CCCCC\C=C/C\C=C/CCCCCCCC[n+]1ccn(C)c1
im-v,8	CCCCCCCC[n+]1ccn(C=C)c1
im-v,10	CCCCCCCCCC[n+]1ccn(C=C)c1
im-v,a	C=CCn1cc[n+](C=C)c1
im-1cch,1	C[n+]1ccn(CC#C)c1
