Cation	Anion	Cationic family	Anionic family	T / K	σ / mN/m
dabco-6	ntf2	bicyclic	bistriflamide derivatives	313,15	35,62
dabco-6	ntf2	bicyclic	bistriflamide derivatives	318,15	35,33
dabco-6	ntf2	bicyclic	bistriflamide derivatives	323,15	35,05
dabco-6	ntf2	bicyclic	bistriflamide derivatives	328,15	34,83
dabco-6	ntf2	bicyclic	bistriflamide derivatives	333,15	34,51
dbu-10	dca	bicyclic	dicyanamides	293,15	30,65
dbu-10	dca	bicyclic	dicyanamides	303,15	30,24
dbu-10	dca	bicyclic	dicyanamides	313,15	29,12
dbu-10	dca	bicyclic	dicyanamides	323,15	28,97
dbu-10	dca	bicyclic	dicyanamides	333,15	28,13
dbu-10	dca	bicyclic	dicyanamides	343,15	27,88
dbu-10	dca	bicyclic	dicyanamides	353,15	27,41
dbu-10	scn	bicyclic	inorganics	293,15	32,94
dbu-10	scn	bicyclic	inorganics	303,15	32,68
dbu-10	scn	bicyclic	inorganics	313,15	32,41
dbu-10	scn	bicyclic	inorganics	323,15	32,14
dbu-10	scn	bicyclic	inorganics	333,15	31,87
dbu-10	scn	bicyclic	inorganics	343,15	31,59
dbu-10	scn	bicyclic	inorganics	353,15	31,32
dbu-14	dca	bicyclic	dicyanamides	293,15	30,25
dbu-14	dca	bicyclic	dicyanamides	303,15	30,08
dbu-14	dca	bicyclic	dicyanamides	313,15	29,58
dbu-14	dca	bicyclic	dicyanamides	323,15	28,87
dbu-14	dca	bicyclic	dicyanamides	333,15	28,70
dbu-14	dca	bicyclic	dicyanamides	343,15	28,19
dbu-14	dca	bicyclic	dicyanamides	353,15	28,08
dbu-2	dca	bicyclic	dicyanamides	293,15	42,90
dbu-2	dca	bicyclic	dicyanamides	303,15	42,10
dbu-2	dca	bicyclic	dicyanamides	313,15	41,55
dbu-2	dca	bicyclic	dicyanamides	323,15	41,03
dbu-2	dca	bicyclic	dicyanamides	333,15	40,21
dbu-2	dca	bicyclic	dicyanamides	343,15	39,82
dbu-2	dca	bicyclic	dicyanamides	353,15	39,11
dbu-4	dca	bicyclic	dicyanamides	293,15	40,09
dbu-4	dca	bicyclic	dicyanamides	303,15	39,46
dbu-4	dca	bicyclic	dicyanamides	313,15	39,22
dbu-4	dca	bicyclic	dicyanamides	323,15	39,16
dbu-4	dca	bicyclic	dicyanamides	333,15	38,86
dbu-4	dca	bicyclic	dicyanamides	343,15	38,56
dbu-4	dca	bicyclic	dicyanamides	353,15	38,06
dbu-6	dca	bicyclic	dicyanamides	293,15	32,57
dbu-6	dca	bicyclic	dicyanamides	303,15	32,42
dbu-6	dca	bicyclic	dicyanamides	313,15	32,26
dbu-6	dca	bicyclic	dicyanamides	323,15	32,12
dbu-6	dca	bicyclic	dicyanamides	333,15	31,99
dbu-6	dca	bicyclic	dicyanamides	343,15	31,87
dbu-6	dca	bicyclic	dicyanamides	353,15	31,61
dbu-6	scn	bicyclic	inorganics	293,15	37,98
dbu-6	scn	bicyclic	inorganics	303,15	37,37
dbu-6	scn	bicyclic	inorganics	313,15	37,20
dbu-6	scn	bicyclic	inorganics	323,15	36,82
dbu-6	scn	bicyclic	inorganics	333,15	36,03
dbu-6	scn	bicyclic	inorganics	343,15	35,94
dbu-6	scn	bicyclic	inorganics	353,15	35,59
dbu-8	dca	bicyclic	dicyanamides	293,15	31,61
dbu-8	dca	bicyclic	dicyanamides	303,15	31,15
dbu-8	dca	bicyclic	dicyanamides	313,15	30,69
dbu-8	dca	bicyclic	dicyanamides	323,15	30,25
dbu-8	dca	bicyclic	dicyanamides	333,15	29,79
dbu-8	dca	bicyclic	dicyanamides	343,15	29,39
dbu-8	dca	bicyclic	dicyanamides	353,15	29,15
dbu-8	scn	bicyclic	inorganics	293,15	31,85
dbu-8	scn	bicyclic	inorganics	303,15	31,19
dbu-8	scn	bicyclic	inorganics	313,15	30,64
dbu-8	scn	bicyclic	inorganics	323,15	29,88
dbu-8	scn	bicyclic	inorganics	333,15	29,44
dbu-8	scn	bicyclic	inorganics	343,15	29,18
dbu-8	scn	bicyclic	inorganics	353,15	28,86
dbu	ac	bicyclic	carboxylates	293,15	36,88
dbu	ac	bicyclic	carboxylates	303,15	35,94
dbu	ac	bicyclic	carboxylates	313,15	34,60
dbu	ac	bicyclic	carboxylates	323,15	33,47
dbu	ac	bicyclic	carboxylates	333,15	32,38
dbu	ac	bicyclic	carboxylates	343,15	31,46
dbu	ac	bicyclic	carboxylates	353,15	30,63
dbu	otf	bicyclic	sulfonates	293,15	30,39
dbu	otf	bicyclic	sulfonates	303,15	29,80
dbu	otf	bicyclic	sulfonates	313,15	29,27
dbu	otf	bicyclic	sulfonates	323,15	28,83
dbu	otf	bicyclic	sulfonates	333,15	28,31
