Cation	Anion	Cationic family	Anionic family	T / K	η / mPa s
azp-2o1,1	ntf2	azepanium	NTf2 derivatives	298,15	160,30
azp-2o1,1	ntf2	azepanium	NTf2 derivatives	303,15	123,00
azp-2o1,1	ntf2	azepanium	NTf2 derivatives	308,15	94,90
azp-2o1,1	ntf2	azepanium	NTf2 derivatives	313,15	74,50
azp-2o1,1	ntf2	azepanium	NTf2 derivatives	318,15	59,30
azp-2o1,1	ntf2	azepanium	NTf2 derivatives	323,15	47,70
azp-2o1,1	ntf2	azepanium	NTf2 derivatives	328,15	39,10
azp-2o1,1	ntf2	azepanium	NTf2 derivatives	333,15	32,50
azp-2o1,1	ntf2	azepanium	NTf2 derivatives	338,15	27,30
azp-2o1,1	ntf2	azepanium	NTf2 derivatives	343,15	23,20
azp-2o1,1	ntf2	azepanium	NTf2 derivatives	348,15	20,00
azp-2o1,1	ntf2	azepanium	NTf2 derivatives	353,15	17,10
azp-2o1,1	ntf2	azepanium	NTf2 derivatives	358,15	15,00
azp-2o1,1	ntf2	azepanium	NTf2 derivatives	363,15	13,30
azp-2o1,1	ntf2	azepanium	NTf2 derivatives	368,15	11,90
azp-2o1,1	ntf2	azepanium	NTf2 derivatives	298,00	160,00
azp-2o1,1	ntf2	azepanium	NTf2 derivatives	290,15	221,80
azp-2o1,1	ntf2	azepanium	NTf2 derivatives	295,95	154,70
azp-2o1,1	ntf2	azepanium	NTf2 derivatives	301,55	111,70
azp-2o1,1	ntf2	azepanium	NTf2 derivatives	307,15	82,89
azp-2o1,1	ntf2	azepanium	NTf2 derivatives	312,75	63,33
azp-2o1,1	ntf2	azepanium	NTf2 derivatives	318,35	49,58
azp-2o1,1	ntf2	azepanium	NTf2 derivatives	323,95	39,71
azp-2o1,1	ntf2	azepanium	NTf2 derivatives	329,65	32,21
azp-2o1,1	ntf2	azepanium	NTf2 derivatives	335,25	26,52
azp-2o1,1	ntf2	azepanium	NTf2 derivatives	340,85	22,40
azp-2o1,1	ntf2	azepanium	NTf2 derivatives	346,35	18,92
azp-2o1,1	ntf2	azepanium	NTf2 derivatives	352,05	16,18
azp-2o1,1	ntf2	azepanium	NTf2 derivatives	357,65	14,04
azp-2o1,1	otf	azepanium	sulfonates	298,10	797,50
azp-2o1,1	otf	azepanium	sulfonates	303,10	579,70
azp-2o1,1	otf	azepanium	sulfonates	308,10	418,50
azp-2o1,1	otf	azepanium	sulfonates	313,10	305,80
azp-2o1,1	otf	azepanium	sulfonates	318,10	227,10
azp-2o1,1	otf	azepanium	sulfonates	323,10	171,70
azp-2o1,1	otf	azepanium	sulfonates	328,10	132,40
azp-2o1,1	otf	azepanium	sulfonates	333,10	103,70
azp-2o1,1	otf	azepanium	sulfonates	338,10	83,10
azp-2o1,1	otf	azepanium	sulfonates	343,10	67,10
azp-2o1,1	otf	azepanium	sulfonates	348,10	55,10
azp-2o1,1	otf	azepanium	sulfonates	353,10	45,70
azp-2o1,1	otf	azepanium	sulfonates	358,10	37,90
azp-2o1,1	otf	azepanium	sulfonates	363,10	31,60
azp-2o1,1	otf	azepanium	sulfonates	368,10	26,50
azp-2o1,1	otf	azepanium	sulfonates	298,00	798,00
azp-2o1,1	tfa	azepanium	carboxylates	298,10	576,90
azp-2o1,1	tfa	azepanium	carboxylates	303,10	403,40
azp-2o1,1	tfa	azepanium	carboxylates	308,10	285,10
azp-2o1,1	tfa	azepanium	carboxylates	313,10	206,30
azp-2o1,1	tfa	azepanium	carboxylates	318,10	152,20
azp-2o1,1	tfa	azepanium	carboxylates	323,10	114,40
azp-2o1,1	tfa	azepanium	carboxylates	328,10	87,70
azp-2o1,1	tfa	azepanium	carboxylates	333,10	68,20
azp-2o1,1	tfa	azepanium	carboxylates	338,10	54,10
azp-2o1,1	tfa	azepanium	carboxylates	343,10	43,60
azp-2o1,1	tfa	azepanium	carboxylates	348,10	35,80
azp-2o1,1	tfa	azepanium	carboxylates	353,10	29,60
azp-2o1,1	tfa	azepanium	carboxylates	358,10	24,80
azp-2o1,1	tfa	azepanium	carboxylates	363,10	21,00
azp-2o1,1	tfa	azepanium	carboxylates	368,10	17,80
azp-2o1,1	tfa	azepanium	carboxylates	298,00	577,00
azp-2o1,2o1	ntf2	azepanium	NTf2 derivatives	292,05	206,50
azp-2o1,2o1	ntf2	azepanium	NTf2 derivatives	298,05	136,90
azp-2o1,2o1	ntf2	azepanium	NTf2 derivatives	304,05	95,23
azp-2o1,2o1	ntf2	azepanium	NTf2 derivatives	309,95	68,33
azp-2o1,2o1	ntf2	azepanium	NTf2 derivatives	315,85	51,02
azp-2o1,2o1	ntf2	azepanium	NTf2 derivatives	321,75	39,23
azp-2o1,2o1	ntf2	azepanium	NTf2 derivatives	327,65	31,10
azp-2o1,2o1	ntf2	azepanium	NTf2 derivatives	333,65	25,12
azp-2o1,2o1	ntf2	azepanium	NTf2 derivatives	339,55	20,61
azp-2o1,2o1	ntf2	azepanium	NTf2 derivatives	345,45	17,07
azp-2o1,2o1	ntf2	azepanium	NTf2 derivatives	351,35	14,32
azp-2o1,2o1	ntf2	azepanium	NTf2 derivatives	357,35	12,20
azp-4,1	ntf2	azepanium	NTf2 derivatives	298,00	315,00
azp-4,1	ntf2	azepanium	NTf2 derivatives	298,10	315,00
azp-4,1	ntf2	azepanium	NTf2 derivatives	303,10	233,00
azp-4,1	ntf2	azepanium	NTf2 derivatives	308,10	172,60
azp-4,1	ntf2	azepanium	NTf2 derivatives	313,10	130,20
azp-4,1	ntf2	azepanium	NTf2 derivatives	318,10	100,00
azp-4,1	ntf2	azepanium	NTf2 derivatives	323,10	77,90
azp-4,1	ntf2	azepanium	NTf2 derivatives	328,10	61,50
azp-4,1	ntf2	azepanium	NTf2 derivatives	333,10	49,40
azp-4,1	ntf2	azepanium	NTf2 derivatives	338,10	40,10
azp-4,1	ntf2	azepanium	NTf2 derivatives	343,10	32,90
azp-4,1	ntf2	azepanium	NTf2 derivatives	348,10	27,40
