smiles,MP
O=S(=O)([O-])O.c1c[nH+]c[nH]1,85.0
CS(=O)(=O)[O-].c1c[nH+]c[nH]1,188.0
O=S(=O)(O)C(F)(F)F.c1c[nH+]c[nH]1,122.9
O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.c1c[nH+]c[nH]1,73.0
F[B-](F)(F)F.c1c[nH+]c[nH]1,131.2
Cn1cc[nH+]c1.O=S(=O)([O-])O,20.88
CCn1cc[nH+]c1.CS(=O)(=O)[O-],59.0
CCn1cc[nH+]c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,5.0
CCCn1cc[nH+]c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,7.49
C[NH3+].O=S(=O)([O-])O,73.2
CS(=O)(=O)[O-].C[NH3+],91.0
C[NH3+].O=C([O-])C(F)(F)F,61.0
C[NH3+].F[B-](F)(F)F,77.1
C[NH3+].O=[N+]([O-])[O-],111.0
C[NH3+].O=P([O-])(O)O,96.8
C[NH3+].[Br-],237.0
CC[NH3+].CS(=O)(=O)[O-],112.5
CC[NH3+].O=S(=O)([O-])C(F)(F)F,173.0
CC[NH3+].O=C([O-])C(F)(F)F,58.0
CC[NH3+].F[B-](F)(F)F,152.4
CC[NH3+].O=P([O-])(O)O,134.0
CC[NH3+].[Cl-],109.0
CCC[NH3+].O=S(=O)([O-])O,33.9
CCC[NH3+].O=S(=O)([O-])C(F)(F)F,176.0
CCC[NH3+].O=P([O-])(O)O,145.6
CCC[NH3+].[Br-],186.2
CCCC[NH3+].O=S(=O)([O-])O,33.5
CCCC[NH3+].CS(=O)(=O)[O-],131.8
CCCC[NH3+].O=S(=O)([O-])C(F)(F)F,178.0
CCCC[NH3+].O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,20.0
CCCC[NH3+].F[B-](F)(F)F,198.2
CCCC[NH3+].O=[N+]([O-])[O-],30.0
CCCC[NH3+].O=P([O-])(O)O,113.3
CCCC[NH3+].[Br-],205.0
C[NH2+]C.O=S(=O)([O-])O,40.1
CS(=O)(=O)[O-].C[NH2+]C,122.1
C[NH2+]C.O=S(=O)([O-])C(F)(F)F,114.0
C[NH2+]C.O=[N+]([O-])[O-],75.0
C[NH2+]C.O=P([O-])(O)O,117.3
CC[NH2+]CC.O=S(=O)([O-])C(F)(F)F,127.0
CC[NH2+]CC.O=[N+]([O-])[O-],96.0
CC[NH2+]CC.O=P([O-])(O)O,148.0
CC[NH2+]CC.[Cl-],220.0
CCCCCCCCC[n+]1cc[nH]c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,17.55
CCCCCCCCCC[n+]1cc[nH]c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,6.75
CCCn1cc[n+](C)c1.O=S(=O)([O-])C(F)(F)F,5.95
CCCCCCCCCn1cc[n+](C)c1.O=S(=O)([O-])C(F)(F)F,9.65
CCCCCCn1cc[n+](C)c1.CS(=O)(=O)[O-],36.35
CCCCCCCn1cc[n+](C)c1.CS(=O)(=O)[O-],37.05
CCCC[N+](C)(C)C12CC3CC(CC(C3)C1)C2.[Br-],222.0
CCCCCC[N+](C)(C)C12CC3CC(CC(C3)C1)C2.[Br-],198.0
CCCCCCCC[N+](C)(C)C12CC3CC(CC(C3)C1)C2.[Br-],211.0
CCCCCCCCCC[N+](C)(C)C12CC3CC(CC(C3)C1)C2.[Br-],211.0
CCCCCCCCCCCC[N+](C)(C)C12CC3CC(CC(C3)C1)C2.[Br-],208.0
CC[N+](C)(C)C12CC3CC(CC(C3)C1)C2.F[B-](F)(F)F,239.2
CCCC[N+](C)(C)C12CC3CC(CC(C3)C1)C2.F[B-](F)(F)F,169.8
CCCCCC[N+](C)(C)C12CC3CC(CC(C3)C1)C2.F[B-](F)(F)F,158.6
CCCCCCCC[N+](C)(C)C12CC3CC(CC(C3)C1)C2.F[B-](F)(F)F,139.2
CCCCCCCCCC[N+](C)(C)C12CC3CC(CC(C3)C1)C2.F[B-](F)(F)F,177.6
CCCCCCCCCCCC[N+](C)(C)C12CC3CC(CC(C3)C1)C2.F[B-](F)(F)F,190.5
CC[N+](C)(C)C12CC3CC(CC(C3)C1)C2.F[P-](F)(F)(F)(F)F,247.0
CCCC[N+](C)(C)C12CC3CC(CC(C3)C1)C2.F[P-](F)(F)(F)(F)F,197.1
CCCCCC[N+](C)(C)C12CC3CC(CC(C3)C1)C2.F[P-](F)(F)(F)(F)F,189.0
CCCCCCCC[N+](C)(C)C12CC3CC(CC(C3)C1)C2.F[P-](F)(F)(F)(F)F,162.3
CCCCCCCCCC[N+](C)(C)C12CC3CC(CC(C3)C1)C2.F[P-](F)(F)(F)(F)F,188.0
CCCCCCCCCCCC[N+](C)(C)C12CC3CC(CC(C3)C1)C2.F[P-](F)(F)(F)(F)F,195.0
C[N+](C)(C)C12CC3CC(CC(C3)C1)C2.O=S(=O)([O-])C(F)(F)F,240.0
CC[N+](C)(C)C12CC3CC(CC(C3)C1)C2.O=S(=O)([O-])C(F)(F)F,182.0
CCCC[N+](C)(C)C12CC3CC(CC(C3)C1)C2.O=S(=O)([O-])C(F)(F)F,101.9
CCCCCC[N+](C)(C)C12CC3CC(CC(C3)C1)C2.O=S(=O)([O-])C(F)(F)F,123.2
CCCCCCCC[N+](C)(C)C12CC3CC(CC(C3)C1)C2.O=S(=O)([O-])C(F)(F)F,151.3
CCCCCCCCCC[N+](C)(C)C12CC3CC(CC(C3)C1)C2.O=S(=O)([O-])C(F)(F)F,104.3
CCCCCCCCCCCC[N+](C)(C)C12CC3CC(CC(C3)C1)C2.O=S(=O)([O-])C(F)(F)F,102.7
C[N+](C)(C)C12CC3CC(CC(C3)C1)C2.O=S(=O)(F)[N-]S(=O)(=O)F,78.3
CC[N+](C)(C)C12CC3CC(CC(C3)C1)C2.O=S(=O)(F)[N-]S(=O)(=O)F,123.7
CCCC[N+](C)(C)C12CC3CC(CC(C3)C1)C2.O=S(=O)(F)[N-]S(=O)(=O)F,65.2
CCCCCC[N+](C)(C)C12CC3CC(CC(C3)C1)C2.O=S(=O)(F)[N-]S(=O)(=O)F,67.6
CCCCCCCC[N+](C)(C)C12CC3CC(CC(C3)C1)C2.O=S(=O)(F)[N-]S(=O)(=O)F,76.3
CCCCCCCCCC[N+](C)(C)C12CC3CC(CC(C3)C1)C2.O=S(=O)(F)[N-]S(=O)(=O)F,92.7
CCCCCCCCCCCC[N+](C)(C)C12CC3CC(CC(C3)C1)C2.O=S(=O)(F)[N-]S(=O)(=O)F,102.3
C[N+](C)(C)C12CC3CC(CC(C3)C1)C2.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,97.2
CC[N+](C)(C)C12CC3CC(CC(C3)C1)C2.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,117.7
CCCC[N+](C)(C)C12CC3CC(CC(C3)C1)C2.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,53.6
CCCCCC[N+](C)(C)C12CC3CC(CC(C3)C1)C2.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,30.6
CCCCCCCC[N+](C)(C)C12CC3CC(CC(C3)C1)C2.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,38.7
CCCCCCCCCC[N+](C)(C)C12CC3CC(CC(C3)C1)C2.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,51.2
CCCCCCCCCCCC[N+](C)(C)C12CC3CC(CC(C3)C1)C2.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,46.2
CCCC[N+](C)(C)C.F[B-](F)(F)F,188.8
CCCCCCCC[N+](C)(C)C.F[B-](F)(F)F,133.4
CCCCCCCCCC[N+](C)(C)C.F[B-](F)(F)F,125.8
CCCC[N+](C)(C)C.F[P-](F)(F)(F)(F)F,169.3
CCCCCC[N+](C)(C)C.F[P-](F)(F)(F)(F)F,225.4
CCCCCCCC[N+](C)(C)C.F[P-](F)(F)(F)(F)F,143.9
CCCCCCCCCC[N+](C)(C)C.F[P-](F)(F)(F)(F)F,175.7
CCCC[N+](C)(C)C.O=S(=O)([O-])C(F)(F)F,79.9
CCCCCC[N+](C)(C)C.O=S(=O)([O-])C(F)(F)F,139.5
CCCCCCCC[N+](C)(C)C.O=S(=O)([O-])C(F)(F)F,140.8
CCCCCCCCCC[N+](C)(C)C.O=S(=O)([O-])C(F)(F)F,150.2
CCCC[N+](C)(C)C.O=S(=O)(F)[N-]S(=O)(=O)F,17.9
CCCCCC[N+](C)(C)C.O=S(=O)(F)[N-]S(=O)(=O)F,46.7
