smiles,MP
[Cl-].CN1C=C[NH+]=C1,72.0
[Br-].CN1C=C[NH+]=C1,41.0
[O-][Cl](=O)(=O)=O.CN1C=C[NH+]=C1,157.0
F[B-](F)(F)F.CN1C=C[NH+]=C1,37.0
CN1C=C[NH+]=C1.FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,9.0
CN1C=C[NH+]=C1.FC(F)(F)C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)C(F)(F)F,11.0
[O-][N+]([O-])=O.CN1C=C[NH+]=C1,70.0
CN1C=C[NH+]=C1.[O-]S(=O)(=O)C(F)(F)F,84.0
CN1C=C[NH+]=C1.F[P-](F)(F)(F)(F)F,116.0
CN1C=C[NH+]=C1.[O-]C(=O)C(F)(F)F,51.0
CC([O-])=O.CN1C=C[NH+]=C1,-23.0
[Cl-].CCN1C=C[NH+]=C1,58.0
[Br-].CCN1C=C[NH+]=C1,60.0
[O-][Cl](=O)(=O)=O.CCN1C=C[NH+]=C1,21.0
[O-][N+]([O-])=O.CCN1C=C[NH+]=C1,31.0
CCN1C=C[NH+]=C1.[O-]S(=O)(=O)C(F)(F)F,8.0
[Cl-].CN1C=C[N+](C)=C1,125.0
F[B-](F)(F)F.CN1C=C[N+](C)=C1,103.0
CN1C=C[N+](C)=C1.FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,22.0
CN1C=C[N+](C)=C1.[O-]C(=O)C(F)(F)F,52.0
CN1C=C[N+](C)=C1.F[B-](F)(F)C(F)(F)F,15.0
CN1C=C[N+](C)=C1.F[B-](F)(F)C(F)(F)C(F)(F)F,27.0
CN1C=C[N+](C)=C1.F[B-](F)(F)C(F)(F)C(F)(F)C(F)(F)F,11.0
CN1C=C[N+](C)=C1.F[B-](F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,16.0
[Cl-].CN1C=C[NH+]=C1C,181.0
[Br-].CN1C=C[NH+]=C1C,176.0
[O-][Cl](=O)(=O)=O.CN1C=C[NH+]=C1C,64.0
CN1C=C[NH+]=C1C.FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,22.0
CN1C=C[NH+]=C1C.FC(F)(F)C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)C(F)(F)F,15.0
[O-][N+]([O-])=O.CN1C=C[NH+]=C1C,84.0
CN1C=C[NH+]=C1C.[O-]S(=O)(=O)C(F)(F)F,119.0
