entry_id,smiles,cation_family,anion_family,value
AFgac,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],imidazolium,sulfates,0.348
APUpG,CC[n+]1ccn(C)c1.N#C[N-]C#N,imidazolium,amides,0.31460000000000005
AfewM,CCc1cccc[n+]1CC.CCOS(=O)(=O)[O-],pyridinium,sulfates,0.412
AgYEn,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,imidazolium,phosphates,0.5362
Arlac,CC[n+]1ccn(COC2CC(C)CCC2C(C)C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,imidazolium,bistriflamides,0.8185
Axizm,CC1CCC(C(C)C)C(OCn2cc[n+](C)c2)C1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,imidazolium,bistriflamides,0.7805
BDuNk,CCCCCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F,imidazolium,phosphates,0.438
BHmHm,CCCCCC[n+]1ccn(COC2CC(C)CCC2C(C)C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,imidazolium,bistriflamides,0.942
BpCGp,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,imidazolium,bistriflamides,0.536
BplZK,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,imidazolium,bistriflamides,0.524
CGZYf,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,imidazolium,phosphates,0.535
CHUUg,CCCC[n+]1ccn(C)c1.CC(=O)[O-],imidazolium,carboxylates,0.38365
CKHHs,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,imidazolium,phosphates,0.4688
CLZnO,CCCC[n+]1ccccc1.O=S(=O)([O-])C(F)(F)F,pyridinium,sulfonates,0.47
COdSk,CCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,pyrrolidinium,bistriflamides,0.592
CRUQE,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],imidazolium,sulfates,0.313
CWlgj,CCCn1cc[n+](CCC)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,imidazolium,bistriflamides,0.595
CbVkH,CC[n+]1ccn(C)c1.CS(=O)(=O)[O-],imidazolium,sulfonates,0.346
CixpW,CCCCn1cc[n+](C2CCCC2)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,imidazolium,bistriflamides,0.65175
CkiZv,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,imidazolium,bistriflamides,0.5
CoAle,CCCCCCCCc1cccc[n+]1CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,pyridinium,bistriflamides,0.749
CsQiP,CC[n+]1ccn(C)c1.CCOS(=O)(=O)[O-],imidazolium,sulfates,0.38255
CsbRd,CC[n+]1ccc(C)cc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,pyridinium,bistriflamides,0.627
CvZeP,CC[S+]1CCCC1.N#C[N-]C#N,cyclic sulfonium,amides,0.335
DOjue,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,imidazolium,bistriflamides,0.6294
DVpej,CC[n+]1ccn(C)c1.N#C[C-](C#N)C#N,imidazolium,methanides,0.357
DXtyK,CCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,imidazolium,bistriflamides,0.5956
DkHts,Cn1cc[n+](CCO)c1.NC(CO)C(=O)[O-],imidazolium,carboxylates,0.38182
DsuSR,CCCCCCCC[n+]1ccccc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,pyridinium,bistriflamides,0.663
Dwuzo,CCCCCCn1cc[n+](C)c1.N#C[C-](C#N)C#N,imidazolium,methanides,0.497
EDWkb,CCCC[n+]1ccc(C)cc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,pyridinium,bistriflamides,0.636
EEgIX,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,imidazolium,bistriflamides,0.566
EHLQy,Cn1cc[n+](C)c1.COP(=O)([O-])OC,imidazolium,organic phosphates,0.283
EKWlh,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.CCCCCCCCCC(=O)[O-],phosphonium,carboxylates,1.192
EcPpx,CC[n+]1ccn(C)c1.CCOS(=O)(=O)[O-],imidazolium,sulfates,0.3832
EhnWp,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,imidazolium,sulfonates,0.4172
EqlOQ,CCCCCCc1cccc[n+]1CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,pyridinium,bistriflamides,0.686
ErbWa,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.CCCCCCCC(=O)[O-],phosphonium,carboxylates,1.151
FBjYC,CCCC[n+]1ccn(C)c1.O=C([O-])C(F)(F)F,imidazolium,carboxylates,0.4079333333333333
FOaGT,CC[n+]1ccn(C)c1.N#C[S-],imidazolium,inorganics,0.286
FQiQU,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],imidazolium,sulfates,0.4162
FghIo,CCCC[n+]1cccc(C)c1.N#C[C-](C#N)C#N,pyridinium,methanides,0.468
FpdzE,CCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,pyrrolidinium,bistriflamides,0.5714999999999999
FrJOb,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,imidazolium,bistriflamides,0.5048
FssCE,CCCCCC[n+]1cc(CC)cc(CC)c1CCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,pyridinium,bistriflamides,0.766
FvBmz,CCCC[S+]1CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,cyclic sulfonium,bistriflamides,0.681
GArPV,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,imidazolium,bistriflamides,0.62675
GCgrD,CCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,imidazolium,phosphates,0.502
GGHeT,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,imidazolium,bistriflamides,0.5669
GYGiY,CCCCCCn1cc[n+](C)c1.O=C1[N-]S(=O)(=O)c2ccccc21,imidazolium,bistriflamides,0.63275
GZziB,CCCC[N+](C)(CCCC)CCCC.NC(CO)C(=O)[O-],ammonium,carboxylates,0.635
GlyBT,CCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,imidazolium,bistriflamides,0.704
GmXux,CCCC[n+]1ccn(CCC(C)C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,imidazolium,bistriflamides,0.68525
GvmHK,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,imidazolium,sulfonates,0.42815000000000003
HDjbL,CCCCCCCCn1cc[n+](C)c1.N#C[C-](C#N)C#N,imidazolium,methanides,0.621
HDsQs,CC[S+](C)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,sulfonium,bistriflamides,0.5231
HWJoe,Cn1cc[n+](Cc2ccccc2)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,imidazolium,bistriflamides,0.6065
HaBkp,C[n+]1ccn(CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,imidazolium,bistriflamides,0.725
HbZzB,C1CC[NH2+]C1.O=[N+]([O-])[O-],pyrrolidinium,inorganics,0.228
HeUlO,C[N+](C)(C)CCO.CC(N)C(=O)[O-],ammonium,carboxylates,0.423
HgQwh,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],imidazolium,sulfates,0.341
