entry_id,smiles,cation_family,anion_family,value
AYHyc,CC[n+]1ccn(C)c1.N#C[N-]C#N,imidazolium,amides,1.7867
AfygE,CCCC[P+](CC)(CCCC)CCCC.CCOP(=O)([O-])OCC,phosphonium,organic phosphates,1.4223
AhLGM,CC[NH+](CC)CC.O=S(=O)([O-])O,ammonium,sulfates,1.874
AhWrV,CC[n+]1ccn(C)c1.CCOS(=O)(=O)[O-],imidazolium,sulfates,1.6823
AiOut,CCCCCCCCn1cc[n+](C)c1.[Cl-],imidazolium,inorganics,1.715
AkXVn,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,imidazolium,phosphates,1.4424000000000001
AoGgh,CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],imidazolium,sulfates,1.762
AsTXR,CCCC[n+]1ccn(C)c1.CC(=O)[O-],imidazolium,carboxylates,1.65
AwFVr,CCCCCCCCn1cc[n+](C)c1.[Cl-],imidazolium,inorganics,1.721
AyWur,CCCC[n+]1ccccc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,pyridinium,bistriflamides,1.2455999999999998
BCyjp,C[NH2+]CCO.O=C[O-],ammonium,carboxylates,1.81555
BPEci,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,imidazolium,bistriflamides,1.22652
BPvFw,CCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,pyrrolidinium,bistriflamides,1.2712999999999999
BQmlj,CCCC[n+]1ccn(C)c1.N#C[N-]C#N,imidazolium,amides,1.737
Bdchc,CCCCCCCC[P+](CCCC)(CCCC)CCCC.[Cl-],phosphonium,inorganics,1.5957999999999999
BpJHU,CCCC[N+]1(C)CCCC1.O=S(=O)([O-])C(F)(F)F,pyrrolidinium,sulfonates,1.461
BrMoX,CC[n+]1ccccc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,pyridinium,bistriflamides,1.2681
Bswyp,CC[n+]1ccn(C)c1.CC(=O)[O-],imidazolium,carboxylates,1.74
Bzesh,CC[N+]1(C)CCOCC1.CC(=O)NC(CC(C)C)C(=O)[O-],morpholinium,carboxylates,1.8635
CFyij,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,imidazolium,bistriflamides,1.2278
CMkus,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,imidazolium,bistriflamides,1.2259
CXPvv,CCCC[n+]1ccn(C)c1.[Cl-],imidazolium,inorganics,1.868
CYInd,CCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,imidazolium,bistriflamides,1.227
CzSFD,CCCC[n+]1ccn(C)c1.[Cl-],imidazolium,inorganics,1.868
DDwik,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],imidazolium,sulfates,1.658
DIFRW,CC[n+]1ccn(C)c1.CS(=O)(=O)[O-],imidazolium,sulfonates,1.7657
DJudV,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,imidazolium,phosphates,1.408
DTIHo,CC[N+](C)(C)CCO.CCOS(=O)(=O)[O-],ammonium,sulfates,1.714
DTfSP,C[N+]1=C(O)CCC1.CCCC(=O)[O-],amidium,carboxylates,1.418
DZNUG,CCCCCC[n+]1ccn(C)c1.[Br-],imidazolium,inorganics,1.5875
Dlydc,CC[N+](C)(C)CCO.CCCCS(=O)(=O)[O-],ammonium,sulfonates,1.694
DmXQo,CC[NH2+]CC.O=S(=O)([O-])O,ammonium,sulfates,1.432
DqLHY,CC(C)OC(=O)C(C)[NH3+].CCCCCCCCCCCCOS(=O)(=O)[O-],ammonium,sulfates,1.4014000000000002
DwpjB,CCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,pyrrolidinium,bistriflamides,1.2692999999999999
EFBJs,CCCCCC[NH+](CCCCCC)CCCCCC.CCCC(=O)[O-],ammonium,carboxylates,1.3267
EKfmH,Cc1ccc[n+](C)c1.COS(=O)(=O)[O-],pyridinium,sulfates,1.8222
EQPgK,Cn1cc[n+](C)c1.COS(=O)(=O)[O-],imidazolium,sulfates,1.813
EotRr,CCCCn1cc[n+](CC)c1.O=S(=O)([O-])C(F)(F)F,imidazolium,sulfonates,1.3731
FCpSU,CC(C)OC(=O)CCC([NH3+])C(=O)OC(C)C.CCCCCCCCCCCCOS(=O)(=O)[O-],ammonium,sulfates,1.389
FNExZ,CCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,pyrrolidinium,bistriflamides,1.27
FTrEM,CCCC[n+]1cccc(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,pyridinium,bistriflamides,1.248
FtZsM,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,imidazolium,bistriflamides,1.2279
GUHga,CCCC[n+]1ccn(C)c1.N#C[S-],imidazolium,inorganics,1.7672
Gxshz,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,imidazolium,bistriflamides,1.2279
HLMnr,CCCC[n+]1ccn(CCC(C)C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,imidazolium,bistriflamides,1.21745
HPwzu,CC[NH2+]CC.CC(=O)[O-],ammonium,carboxylates,1.608
HTWkQ,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,imidazolium,bistriflamides,1.2278
Hglel,CCCCCCCCn1cc[n+](C)c1.[Br-],imidazolium,inorganics,1.5617999999999999
Hlxus,CCCC[n+]1ccn(C)c1.N#C[N-]C#N,imidazolium,amides,1.7381
HqujR,CCCCCC[NH+](CCCCCC)CCCCCC.CCCCCCCC(=O)[O-],ammonium,carboxylates,1.3477000000000001
HrwQI,CC[n+]1ccn(C)c1.CCOS(=O)(=O)[O-],imidazolium,sulfates,1.6807999999999998
HxrSo,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,imidazolium,bistriflamides,1.2282
IDLQK,CCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,pyrrolidinium,bistriflamides,1.2677
IJWeB,CC(C)COC(=O)C([NH3+])C(C)C.CCCCCCCCCCCCOS(=O)(=O)[O-],ammonium,sulfates,1.4085999999999999
ILzmn,C[N+]1=C(O)CCC1.CCCCC(=O)[O-],amidium,carboxylates,1.4105
INdlX,OCC[NH2+]CCO.O=C[O-],ammonium,carboxylates,1.79885
IQDvb,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],imidazolium,sulfates,1.6584
IWwQI,CC[n+]1ccn(C)c1.CC(=O)[O-],imidazolium,carboxylates,1.737
IZuUy,CCCCCCCCCC[n+]1ccn(COC2CC(C)CCC2C(C)C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,imidazolium,bistriflamides,1.2832999999999999
IpOSe,CC[n+]1cccc(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,pyridinium,bistriflamides,1.26
IpwmJ,C[NH+](C)C.O=S(=O)([O-])O,ammonium,sulfates,1.564
JURnF,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,imidazolium,sulfonates,1.4356
JYmMu,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,imidazolium,bistriflamides,1.2395999999999998
JgvJW,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,imidazolium,phosphates,1.443
JkesW,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,imidazolium,phosphates,1.4436
JmDwK,CCCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,imidazolium,bistriflamides,1.239
JyMva,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,imidazolium,bistriflamides,1.2278
Jzjoc,CCCC[N+](C)(CCCC)CCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,ammonium,bistriflamides,1.276
