entry_id,smiles,cation_family,anion_family,value
CtAuU,CCCC[NH3+].O=[N+]([O-])[O-],ammonium,inorganics,0.199
DcPpI,CCCC[n+]1cccc(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,pyridinium,bistriflamides,0.139
DlYfW,CCCC[P+](CCCC)(CCCC)CCCC.NC(CO)C(=O)[O-],phosphonium,carboxylates,0.161
EbmPa,[NH3+]CCO.CC(O)C(=O)[O-],ammonium,carboxylates,0.255
FJqjG,CCCC[P+](CCCC)(CCCC)CCCC.O=C([O-])C1CCCN1,phosphonium,carboxylates,0.154
FmCwN,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,imidazolium,sulfonates,0.148
GGdRV,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,imidazolium,bistriflamides,0.12
GgQTE,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,ammonium,bistriflamides,0.146
HhnVd,CCCC[P+](CCCC)(CCCC)CCCC.CC(O)C(N)C(=O)[O-],phosphonium,carboxylates,0.156
HyVWT,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,imidazolium,bistriflamides,0.126
LcHvq,CCCn1cc[n+](C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,imidazolium,bistriflamides,0.13
OAvre,CCCC[n+]1ccc(C)cc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,pyridinium,bistriflamides,0.137
OhOxX,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.CCCCCC(=O)[O-],phosphonium,carboxylates,0.156
OlhBm,CCCC[N+](C)(CCCC)CCCC.NCCS(=O)(=O)[O-],ammonium,sulfonates,0.161
PEWvW,Cn1cc[n+](C)c1.COP(=O)([O-])OC,imidazolium,organic phosphates,0.238
QMStG,CCCC[N+](C)(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,ammonium,bistriflamides,0.14
QeSHX,CCCCCC[n+]1ccc(N(C)C)c(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,pyridinium,bistriflamides,0.12
Qktgo,CCCC[N+](C)(CCCC)CCCC.NC(CO)C(=O)[O-],ammonium,carboxylates,0.169
TlnUh,CCCCn1cc[n+](C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,imidazolium,bistriflamides,0.142
VHrKd,CC[n+]1ccn(C)c1.N#C[N-]C#N,imidazolium,amides,0.2
VJXnV,CC[NH3+].O=[N+]([O-])[O-],ammonium,inorganics,0.247
WJDCH,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,phosphonium,phosphates,0.125
WYcPD,CCCCCC[n+]1ccc(N(C)C)cc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,pyridinium,bistriflamides,0.13
Wktsy,CCCC[P+](C)(CCCC)CCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,phosphonium,bistriflamides,0.14
Yuuek,CCCC[P+](C)(CCCC)CCCC.COS(=O)(=O)[O-],phosphonium,sulfates,0.155
aeEpS,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.CCCCCCCCCC(=O)[O-],phosphonium,carboxylates,0.1571
akQpY,CC[n+]1ccn(C)c1.O=C([O-])C(F)(F)F,imidazolium,carboxylates,0.17
ayUjw,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.CC(=O)[O-],phosphonium,carboxylates,0.1602
gdTzK,CC[n+]1ccn(C)c1.CCOP(=O)([O-])OCC,imidazolium,organic phosphates,0.19
iPqco,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.CCCC(=O)[O-],phosphonium,carboxylates,0.1566
jSZLw,CC[n+]1ccn(C)c1.N#C[S-],imidazolium,inorganics,0.21
jaarI,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,imidazolium,bistriflamides,0.129
jpCuX,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,phosphonium,bistriflamides,0.137
mjAmZ,CCCC[P+](CCCC)(CCCC)CCCC.NCCS(=O)(=O)[O-],phosphonium,sulfonates,0.16
mjamD,CCCC[N+](C)(CCCC)CCCC.NCCCCC(N)C(=O)[O-],ammonium,carboxylates,0.171
moxPw,CCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,imidazolium,bistriflamides,0.128
nbGKu,CC[n+]1ccn(C)c1.CCOP(=O)([O-])OCC,imidazolium,organic phosphates,0.19
oRJzj,CCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,imidazolium,bistriflamides,0.136
pMWOG,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,imidazolium,sulfonates,0.16
