entry_id,smiles,cation_family,anion_family,value
AFGIv,CCCC[N+]1(C)CCCC1.N#C[N-]C#N,pyrrolidinium,amides,1.5544891600038189
AHPDw,CCCCn1cc[n+](C)c1.CC(N)C(=O)[O-],imidazolium,carboxylates,1.8937617620579432
AIgQV,CCCC[n+]1ccn(C)c1.N#C[N-]C#N,imidazolium,amides,1.484299839346786
AMRAa,CCn1cc[n+](C)c1.CC(=O)CCC(=O)[O-],imidazolium,carboxylates,2.2314695904306814
APbkE,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,imidazolium,bistriflamides,1.6963563887333322
ASTsl,CCCCCC[N+]1(C)CCOCC1.CC(=O)NC(C)C(=O)[O-],morpholinium,carboxylates,4.173186268412274
ATucN,CCC[n+]1ccn(C)c1.O=C([O-])O,imidazolium,carboxylates,1.6304278750250238
AUazg,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,imidazolium,phosphates,2.7481880270062
AWaXB,CCCCC[N+](C)(C)CCO.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,ammonium,bistriflamides,2.2518814545525276
AWgZI,CC[N+](C)(C)CCOC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,ammonium,bistriflamides,1.7737864449811935
AXdBX,CN(C)C(=[NH2+])N(C)C.CCCCCCC(=O)[O-],guanidinium,carboxylates,3.058426024457005
AaVyQ,C[N+](C)(C)CCO.O=C([O-])C1CCCN1,ammonium,carboxylates,4.02530586526477
Aboan,CCCCCCCCC=CCCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,imidazolium,bistriflamides,2.437750562820388
AdNln,CCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,imidazolium,phosphates,1.7781512503836436
AeUNZ,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,imidazolium,bistriflamides,2.0086001717619175
Ahanj,Cn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,imidazolium,bistriflamides,1.5804687839510017
AhepV,CC[n+]1ccn(C)c1.CCOS(=O)(=O)[O-],imidazolium,sulfates,1.9818186071706636
AhpHo,CC[NH3+].O=[N+]([O-])[O-],ammonium,inorganics,1.5740312677277188
AkZDy,CCCCCC[n+]1ccn(C)c1.O=[N+]([O-])c1cn[n-]c1,imidazolium,cyclic amides,2.60959440922522
AktrI,CCCC[P+](CC)(CC)CC.O=[N+]([O-])c1cn[n-]c1,phosphonium,cyclic amides,2.2764618041732443
AlWqc,CC[N+](CCO)(CCO)CCO.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,ammonium,bistriflamides,2.924795995797912
AnFbL,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,imidazolium,organic phosphates,2.4914737553706714
AoTfN,CCCCCCn1cc[n+](C)c1.N#C[C-](C#N)C#N,imidazolium,methanides,1.6227319651647192
AqDpj,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.Cc1ncc([N+](=O)[O-])[n-]1,phosphonium,cyclic amides,3.0453229787866576
AqKLe,CCCCCC[n+]1cn(CCCCS(=O)(=O)O)cn1.O=S(=O)([O-])C(F)(F)F,triazolium,sulfonates,2.09282587292398
AvWGU,C=Cn1cc[n+](CC(CBr)N=[N+]=[N-])c1.N#C[N-]C#N,imidazolium,amides,1.4778438751567529
AwQoT,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,imidazolium,sulfonates,1.944482672150169
Azrwn,C=C[n+]1ccn(CC)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,imidazolium,bistriflamides,1.7558748556724917
